中国人民大学,理科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,608,665,637,第一批,68,0,39,
2006,617,660,645,第一批,55,0,54,
2007,627,679,658,第一批,62,0,51,
2008,588,671,633,第一批,70,0,58,
2009,630,675,640,第一批,73,0,52,
2010,0,648,639,第一批,87,0,39,
2011,645,675,664,第一批,82,0,38,
2012,623,676,--,第一批,105,0,40,
2013,0,652,第一批,122,0,40,
