同济大学,理科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,568,667,621,第一批,52,0,88,
2006,606,661,632,第一批,42,0,88,
2007,616,673,650,第一批,54,0,108,
2008,596,655,626,第一批,63,0,103,
2009,613,660,631,第一批,64,0,106,
2010,0,646,627,第一批,75,0,148,
2011,634,677,655,第一批,73,0,145,
2012,613,662,--,第一批,97,0,129,
2013,0,634,--,第一批,110,0,141,
2014,651,--,第一批,--,--,--,
