年份,复旦大学最低分,复旦大学最高分,复旦大学平均分,复旦大学录取批次,复旦大学录取线差,复旦大学录取人数,
2005,613,651,628,第一批,59,10,
2006,614,654,637,第一批,46,13,
2007,607,645,625,第一批,36,12,
2008,603,632,615,第一批,58,11,
2009,581,617,604,第一批,52,15,
2010,560,604,596,第一批,64,23,
2011,612,638,629,第一批,67,20,
2012,614,637,625,第一批,73,13,
2013,600,616,619,第一批,80,18,
