南开大学,文科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,593,650,617,第一批,50,0,39,
2006,598,653,628,第一批,37,0,40,
2007,610,654,627,第一批,38,0,40,
2008,598,629,610,第一批,53,0,39,
2009,569,622,589,第一批,37,0,35,
2010,0,596,588,第一批,56,0,40,
2011,601,636,622,第一批,60,0,40,
2012,600,631,--,第一批,65,0,41,
2013,0,604,--,第一批,75,0,47,
2014,599,--,第一批,--,--,--,
