北京航空航天大学,文科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,599,628,--,第一批,41,0,9,
2006,595,632,--,第一批,16,0,9,
2007,607,624,--,第一批,24,0,6,
2008,567,602,--,第一批,22,0,9,
2009,568,589,--,第一批,25,0,12,
2010,0,575,--,第一批,36,0,10,
2011,584,609,601,第一批,39,0,9,
2012,604,615,--,第一批,49,0,11,
2013,0,577,第一批,55,0,6,
