北京航空航天大学,理科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,568,676,626,第一批,57,0,115,
2006,610,670,641,第一批,51,0,97,
2007,641,672,652,第一批,56,0,98,
2008,613,663,632,第一批,69,0,99,
2009,622,664,635,第一批,68,0,107,
2010,625,645,631,第一批,79,0,109,
2011,637,670,658,第一批,76,0,125,
2012,619,652,642,第一批,100,0,109,
2013,612,638,第一批,115,0,111,
