华中科技大学,文科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,585,622,--,第一批,29,0,52,
2006,611,634,618,第一批,27,0,51,
2007,589,644,603,第一批,14,0,48,
2008,570,626,584,第一批,27,0,51,
2009,562,599,578,第一批,26,0,53,
2010,0,582,566,第一批,34,0,49,
2011,598,610,601,第一批,39,0,44,
2012,601,613,--,第一批,47,0,42,
2013,0,580,--,第一批,51,0,49,
2014,583,--,第一批,--,--,--,
