年份,清华大学最低分,清华大学最高分,清华大学平均分,清华大学录取批次,清华大学录取线差,清华大学录取人数,
2008,597,627,610,第一批,53,7,
2009,--,630,617,第一批,65,6,
2010,--,622,616,第一批,84,5,
2011,--,657,653,第一批,100,5,
2012,630,673,--,第一批,96,8,
2013,--,629,--,第一批,105,6,
