天津大学,文科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,580,584,581,第一批,16,0,3,
2006,592,640,616,第一批,25,0,2,
2007,601,602,601,第一批,12,0,2,
2008,587,591,589,第一批,32,0,2,
2009,560,570,564,第一批,12,0,4,
2010,0,579,569,第一批,37,0,7,
2011,604,617,607,第一批,45,0,8,
2012,591,613,--,第一批,49,0,8,
2013,0,580,--,第一批,57,0,12,
2014,592,--,第一批,--,--,--,
