南开大学,理科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,623,672,640,第一批,72,0,54,
2006,603,666,636,第一批,46,0,78,
2007,638,674,650,第一批,54,0,61,
2008,605,659,633,第一批,70,0,75,
2009,590,659,631,第一批,64,0,71,
2010,0,639,631,第一批,79,0,61,
2011,641,671,658,第一批,76,0,83,
2012,619,651,--,第一批,98,0,73,
2013,0,635,--,第一批,112,0,93,
2014,652,--,第一批,--,--,--,
