天津大学,理科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,569,658,617,第一批,49,0,128,
2006,594,662,627,第一批,37,0,156,
2007,610,672,644,第一批,48,0,146,
2008,601,653,619,第一批,56,0,136,
2009,611,652,625,第一批,58,0,149,
2010,0,635,617,第一批,65,0,158,
2011,624,658,646,第一批,64,0,146,
2012,602,642,--,第一批,84,0,161,
2013,0,622,--,第一批,96,0,175,
2014,637,--,第一批,--,--,--,
