年份,西安交通大学最低分,西安交通大学最高分,西安交通大学平均分,西安交通大学录取批次,西安交通大学录取线差,西安交通大学录取人数,
2005,596,619,603,第一批,38,6,
2006,600,659,616,第一批,25,13,
2007,600,623,612,第一批,23,10,
2008,579,601,587,第一批,30,12,
2009,568,589,573,第一批,21,10,
2010,554,569,565,第一批,33,9,
2011,597,601,598,第一批,36,4,
2012,589,595,590,第一批,35,5,
2013,570,575,573,第一批,50,8,
