年份,南京大学最低分,南京大学最高分,南京大学平均分,南京大学录取批次,南京大学录取线差,南京大学录取人数,
2005,611,614,612,第一批,47,5,
2006,609,660,627,第一批,36,11,
2007,608,639,619,第一批,30,13,
2008,591,615,599,第一批,42,17,
2009,573,620,599,第一批,47,22,
2010,588,595,590,第一批,58,18,
2011,606,627,623,第一批,61,18,
2012,623,633,644,第一批,68,19,
2013,612,601,633,第一批,77,19,
