年份,北京大学最低分,北京大学最高分,北京大学平均分,北京大学录取批次,北京大学录取线差,北京大学录取人数,
2005,632,688,660,第一批,90,84,
2006,627,678,662,第一批,72,62,
2007,644,705,673,第一批,77,63,
2008,642,692,663,第一批,100,41,
2009,640,686,662,第一批,95,50,
2010,651,677,652,第一批,100,50,
2011,663,694,679,第一批,97,30,
2012,651,683,670,第一批,128,26,
2013,644,672,664,第一批,143,29,
