年份,浙江大学最低分,浙江大学最高分,浙江大学平均分,浙江大学录取批次,浙江大学录取线差,浙江大学录取人数,
2005,569,678,640,第一批,72,74,
2006,618,681,647,第一批,57,63,
2007,634,680,656,第一批,60,68,
2008,598,667,639,第一批,76,80,
2009,621,662,642,第一批,75,58,
2010,637,649,640,第一批,88,68,
2011,646,677,666,第一批,84,65,
2012,627,665,640,第一批,109,64,
2013,615,645,633,第一批,124,68,
