年份,上海交通大学最低分,上海交通大学最高分,上海交通大学平均分,上海交通大学录取批次,上海交通大学录取线差,上海交通大学录取人数,
2005,569,678,641,第一批,67,58,
2006,628,673,651,第一批,61,66,
2007,633,677,657,第一批,61,119,
2008,606,671,644,第一批,81,108,
2009,629,669,643,第一批,76,71,
2010,642,650,634,第一批,82,79,
2011,653,680,670,第一批,88,53,
2012,635,666,666,第一批,116,45,
2013,644,651,645,第一批,131,47,
