中国人民大学,文科,录取分数线,
年份,最低分,最高分,平均分,录取批次,录取线差,投档,录取人数,
2005,591,646,614,第一批,47,0,39,
2006,598,657,637,第一批,46,0,55,
2007,603,660,629,第一批,40,0,48,
2008,600,633,611,第一批,54,0,56,
2009,585,637,594,第一批,42,0,48,
2010,0,604,596,第一批,64,0,40,
2011,628,641,632,第一批,70,0,40,
2012,612,652,--,第一批,73,0,46,
2013,0,616,第一批,85,0,46,
